exec_place_time,id,create_time,symbol,side,exec_algo,exec_complete_time,exec_id,exec_price,exec_quote_amount,exec_base_amount,client_id,amount
1638339029958,11100,2021-12-01 06:10:32.606299+00:00,eth_usdt,buy,twap,1638339035628,6288a756-526d-11ec-8538-062c4900ebca,4707.0199999999995,0.0052,24.476503999999995,24,0.005298460000000192
1638339012618,11099,2021-12-01 06:10:15.261635+00:00,usdt_husd,buy,twap,1638339027973,5832997e-526d-11ec-8538-062c4900ebca,1.0009,20.5515,20.56999635,24,20.551500754358745
1638339005207,11098,2021-12-01 06:10:07.385639+00:00,btc_usdt,buy,otchedge,1638339007942,53c7e51a-526d-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,0.002391780000000004
1638338983503,11097,2021-12-01 06:09:45.696460+00:00,btc_usdt,buy,otchedge,1638338986248,46d87086-526d-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,0.002040270000000004
1638330546877,11096,2021-12-01 03:49:09.004726+00:00,btc_usdt,buy,otchedge,1638330549569,a23a131c-5259-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,0.002030270000000004
1638281464805,11095,2021-11-30 14:11:07.415907+00:00,usdt_husd,buy,twap,1638281480123,5b078d0c-51e7-11ec-8537-062c4900ebca,1.0009,19.9821,20.000083889999996,24,19.98210867762393
1638281459490,11094,2021-11-30 14:11:02.234544+00:00,eth_usdt,buy,twap,1638281468420,57dc4122-51e7-11ec-8537-062c4900ebca,4650.4800000000005,0.0086,39.994128,24,0.00865397000000019
1638279557475,11093,2021-11-30 13:39:20.089307+00:00,usdt_husd,buy,twap,1638279561154,ea2bc0e8-51e2-11ec-8537-062c4900ebca,1.0008,19.984,19.9999872,24,19.984092600549484
1638279552348,11092,2021-11-30 13:39:14.992176+00:00,eth_usdt,buy,twap,1638279561153,e64f1f11-51e2-11ec-8537-062c4900ebca,4602.53,0.0043,19.790879,24,0.0043759900000002235
1638279535081,11091,2021-11-30 13:38:57.697475+00:00,usdt_husd,buy,twap,1638279550312,dcd2c400-51e2-11ec-8537-062c4900ebca,1.0008,19.984,19.9999872,24,19.984079810142312
1638279529854,11090,2021-11-30 13:38:52.498226+00:00,eth_usdt,buy,twap,1638279538676,d9b55454-51e2-11ec-8537-062c4900ebca,4603.29,0.0063,29.000727,24,0.006340930000000224
1638279511836,11089,2021-11-30 13:38:34.949722+00:00,usdt_husd,buy,twap,1638279527804,cecbdedd-51e2-11ec-8537-062c4900ebca,1.0008,19.9799,19.995883919999997,24,19.979966814888748
1638279504375,11088,2021-11-30 13:38:26.507690+00:00,btc_usdt,buy,otchedge,1638279507038,ca8594c6-51e2-11ec-8537-062c4900ebca,0.0,0.0,0.0,24,0.0016806400000000023
1638278382460,11087,2021-11-30 13:19:44.595236+00:00,btc_usdt,buy,otchedge,1638278385090,2dcedbee-51e0-11ec-8537-062c4900ebca,0.0,0.0,0.0,24,0.0013359500000000024
1638278006321,11086,2021-11-30 13:13:28.460512+00:00,btc_usdt,buy,otchedge,1638278008961,4d9c7a36-51df-11ec-8537-062c4900ebca,0.0,0.0,0.0,24,0.0013359500000000024
1638276205288,11085,2021-11-30 12:43:27.840543+00:00,usdt_husd,buy,twap,1638277863210,1c1cba9c-51db-11ec-8537-062c4900ebca,1.0008,102.0186,102.10021488,24,102.01865268048954
1638276197622,11084,2021-11-30 12:43:19.900312+00:00,btc_usdt,buy,otchedge,1638277863210,178b2a04-51db-11ec-8537-062c4900ebca,0.0,0.0,0.0,24,0.0013359500000000024
1638267795500,11083,2021-11-30 10:23:18.188028+00:00,usdt_husd,buy,twap,1638276204029,877ce3de-51c7-11ec-8537-062c4900ebca,0.0,0.0,0.0,24,82.04183947434157
1638267774215,11082,2021-11-30 10:22:56.408365+00:00,btc_usdt,buy,otchedge,1638276195761,7a5e6223-51c7-11ec-8537-062c4900ebca,0.0,0.0,0.0,24,0.0009855500000000026
1638267437995,11081,2021-11-30 10:17:20.715805+00:00,usdt_husd,buy,twap,1638267794186,b2667e30-51c6-11ec-8537-062c4900ebca,0.0,0.0,0.0,24,32.0743183630639
1638258258156,11080,2021-11-30 10:13:14.854301+00:00,usdt_husd,buy,twap,1638267436739,203a9b18-51c6-11ec-8537-062c4900ebca,0.0,0.0,0.0,24,32.07111333499864
